GSP_Nam,InterpolationCategory,Well_ID,MT_dtw,Lat,Long
McMullin Area,Central Valley,15S17E13R002M,NA,36.62,-120.063
Merced,Central Valley,06S12E21M001M,NA,37.39,-120.668
Merced,Central Valley,07S10E06K003M,NA,37.35,-120.911
Merced,Central Valley,07S10E11A001M,NA,37.35,-120.911
Merced,Central Valley,07S12E03J001M,NA,37.35,-120.633
Merced,Central Valley,07S14E12N001M,NA,37.33,-120.396
Merced,Central Valley,07S10E17D001M,NA,37.33,-120.905
Merced,Central Valley,07S10E17D002M,NA,37.33,-120.905
Merced,Central Valley,07S14E16F001M,NA,37.33,-120.443
Merced,Central Valley,07S14E16F002M,NA,37.33,-120.443
Merced,Central Valley,07S14E16F003M,NA,37.33,-120.443
Merced,Central Valley,07S13E13H001M,NA,37.33,-120.488
Merced,Central Valley,07S13E13H002M,NA,37.33,-120.488
Merced,Central Valley,07S13E13H003M,NA,37.33,-120.488
Merced,Central Valley,07S15E18G001M,NA,37.32,-120.367
Merced,Central Valley,07S15E30D001M,NA,37.3,-120.375
Merced,Central Valley,07S14E30R002M,NA,37.3,-120.487
Merced,Central Valley,07S14E30R003M,NA,37.3,-120.487
Merced,Central Valley,07S14E30R004M,NA,37.3,-120.487
Merced,Central Valley,07S14E35E002M,NA,37.29,-120.453
Merced,Central Valley,07S14E35E003M,NA,37.29,-120.453
Merced,Central Valley,07S14E35E004M,NA,37.29,-120.453
Merced,Central Valley,07S15E32A001M,NA,37.29,-120.343
Merced,Central Valley,07S15E15N001M,NA,37.27,-120.307
Merced,Central Valley,-,NA,37.16,-120.556
Merced,Central Valley,-,NA,37.12,-120.596
Mid-Kaweah,Central Valley,KSB-1545,NA,36.26,-119.361
Mid-Kaweah,Central Valley,KSB-1408,NA,36.26,-119.394
Mid-Kaweah,Central Valley,KSB-1879,NA,36.24,-119.295
Mid-Kaweah,Central Valley,KSB-1536,NA,36.24,-119.365
Mid-Kaweah,Central Valley,KSB-1320,NA,36.21,-119.416
New Stone,Central Valley,NSWD_34,NA,36.93,-120.373
